Origin Time,Latitude,Longitude,Magnitude,Depth
2015-08-25T08:41:04.590000Z,30.947,77.6943,3.6,28.0
2015-08-07T15:46:38.690000Z,30.4116,80.4189,3.7,11.0
2015-08-06T21:43:41.100000Z,30.156,79.369,3.1,10.0
2015-08-05T19:15:56.500000Z,30.2923,80.4983,4.1,11.0
2015-07-26T16:59:06.000000Z,29.9745,80.6769,3.5,23.0
2015-07-18T23:48:09.860000Z,30.4073,79.1514,4.4,23.0
2015-07-04T09:52:34.280000Z,29.8018,78.6284,3.7,35.0
2015-06-27T06:04:29.700000Z,29.836,80.207,3.5,10.0
2015-06-23T20:33:22.270000Z,30.5489,78.2669,3.6,10.0
2015-06-03T11:28:25.200000Z,30.4393,79.1893,3.8,10.0
2015-05-23T11:53:57.800000Z,30.422,79.232,3.4,6.1
2015-04-01T21:23:55.340000Z,30.3749,79.4818,4.9,17.0
2015-02-14T00:44:37.000000Z,31.3457,80.4558,4.2,35.0
2015-02-13T22:21:53.670000Z,31.286,80.5357,4.1,35.0
2015-01-27T15:16:41.480000Z,29.2328,80.9693,3.3,35.0
2015-01-24T19:10:19.000000Z,30.462,77.484,2.7,5.0
2015-01-23T04:49:01.020000Z,29.7219,80.8707,3.5,17.0
2015-01-22T03:42:33.880000Z,29.2726,80.9678,4.0,10.0
2015-01-18T14:02:18.450000Z,29.4734,80.7469,3.4,0.0
2015-01-09T21:58:38.800000Z,30.195,79.179,2.8,10.0
2014-12-28T18:23:54.710000Z,29.2802,80.6268,3.7,0.0
2014-12-19T20:59:08.420000Z,31.3504,80.9323,3.4,50.2
2014-12-11T03:11:42.570000Z,29.2706,80.704,3.6,0.0
2014-12-06T04:27:42.580000Z,30.6685,80.0267,4.1,10.0
2014-10-14T11:16:19.030000Z,31.1547,77.9589,3.6,10.0
2014-10-09T01:14:26.770000Z,29.9207,79.2785,3.4,0.0
2014-09-04T11:31:31.130000Z,29.2312,77.4568,3.6,9.0
2014-08-31T06:30:46.200000Z,31.246,77.987,3.4,10.0
2014-08-24T08:29:31.740000Z,30.0384,79.9591,4.4,10.0
2014-08-08T06:22:31.100000Z,31.2972,80.7299,4.8,10.0
2014-08-07T06:29:47.600000Z,29.963,79.671,3.3,11.2
2014-07-06T14:48:13.060000Z,30.3227,80.3415,4.1,43.7
2014-07-03T13:40:47.600000Z,30.195,80.493,3.4,10.0
2014-07-03T11:35:00.300000Z,30.2451,80.3384,4.0,35.0
2014-05-19T21:53:33.480000Z,31.8873,77.0807,3.6,50.5
2014-05-14T19:03:20.760000Z,29.6215,80.834,3.8,17.0
2014-05-14T01:54:01.550000Z,29.9491,80.21,3.5,16.0
2014-04-14T19:43:22.890000Z,29.4123,78.5964,3.2,0.0
2014-03-25T23:04:36.100000Z,30.348,80.925,3.4,37.7
2014-03-19T12:24:31.100000Z,30.633,77.863,3.1,5.0
2014-03-13T17:02:08.600000Z,29.871,80.304,2.9,5.0
2014-02-24T14:15:05.990000Z,30.5339,79.2944,3.4,24.2
2014-02-17T00:30:39.940000Z,30.2083,79.9895,3.5,10.0
2014-02-16T19:02:30.140000Z,30.4439,79.279,3.5,17.3
2014-01-21T15:13:55.900000Z,30.59,77.096,2.8,16.1
2014-01-20T14:40:57.900000Z,29.843,80.548,2.8,5.0
2013-12-25T02:56:53.360000Z,31.3779,78.3969,3.5,48.0
2013-12-18T08:52:24.130000Z,31.5554,78.0777,3.7,11.1
2013-12-17T14:45:52.680000Z,31.4413,77.9959,3.6,8.2
2013-11-26T01:46:24.500000Z,29.256,77.238,2.7,15.1
2013-11-13T23:33:40.720000Z,29.971,79.0823,3.7,2.7
2013-09-18T08:16:53.070000Z,29.2217,80.7373,3.5,0.0
2013-09-11T22:11:18.800000Z,31.198,78.001,2.9,11.1
2013-09-05T18:35:44.400000Z,30.674,78.582,3.0,14.5
2013-07-11T16:01:35.400000Z,30.411,79.063,3.0,12.3
2013-07-05T19:58:33.600000Z,30.581,77.816,2.9,28.6
2013-06-27T06:20:55.270000Z,30.0895,80.4596,4.1,10.0
2013-05-11T22:15:10.400000Z,30.3298,79.7962,3.7,0.0
2013-04-27T07:41:39.700000Z,29.099,79.098,3.0,10.0
2013-04-27T06:32:02.600000Z,30.014,77.812,2.7,10.0
2013-04-25T14:38:41.060000Z,29.8386,80.6561,3.7,23.0
2013-04-16T12:50:50.170000Z,31.2172,78.9651,3.4,20.2
2013-04-13T19:54:42.670000Z,29.4218,80.7238,3.3,0.0
2013-04-06T22:29:31.660000Z,30.7043,78.9391,3.6,16.3
2013-03-26T21:06:08.400000Z,29.876,79.963,2.9,10.0
2013-03-24T00:17:32.900000Z,29.947,80.64,2.8,10.0
2013-03-21T19:29:15.050000Z,30.1936,79.3931,2.9,0.0
